name_guest,date_review,overview_rating,overview_text,comment
talene harvel,"Reviewed in the United States on March 28, 2018",3.0 out of 5 stars,Luv the shape material it’s made of good quality but way too small for the price,Luv the shape material it’s made of  good quality but way too small for the price!!
Margaret Thom,"Reviewed in the United States on February 24, 2023",3.0 out of 5 stars,One out of my 4 had a sharp edge where it touched my mouth,Ver classy looking but light and easily spilled
Christopher,"Reviewed in the United States on July 27, 2023",3.0 out of 5 stars,Looks great but breaks easily,These look great but they break easily.
Lisa,"Reviewed in the United States on August 18, 2022",3.0 out of 5 stars,Looks 10 durability 3,Soapy Water was able to collect between the exterior and interior of the glasses. Even though I handwasher them each time.
Crystal,"Reviewed in the United States on June 18, 2022",3.0 out of 5 stars,Already bad,Straight out of the box i could already tell they probably werent going to last long and the seam would eventually crack. So examined each one and ofcourse one is already cracked
david troccoli,"Reviewed in the United States on June 7, 2022",3.0 out of 5 stars,Wall of cup to thin,Cup still builds up condensation because double wall is to thin
K. Schmitt,"Reviewed in the United States on November 25, 2021",3.0 out of 5 stars,They’re ok.,"It’s nice to find double walled insulated cups in these sizes, but they only lasted several months before cracking at the seam appeared, and condensation was trapped inside the double wall. They were dishwashered regularly, and if I had hand washed them the seal probably would not have been broken."
Amazon Customer,"Reviewed in the United States on June 23, 2021",3.0 out of 5 stars,Disappointed,Cup tipped over and came apart from outer cover. Tipped over on counter very lightly. Very disappointed. I was careful to hand wash and had used this cup only about 4 times.
calf,"Reviewed in the United States on June 20, 2021",3.0 out of 5 stars,Save Your Money,"I got these because hubby kept breaking the glass ones. Unfortunately, he fell asleep and dropped one of these just days after they arrived. He was sitting in a lawn chair and dropped it maybe 30"". Shattered.April 2022 - Only one is left, and only because it's never been used. After the first one shattered, the seals on two and three must have been defective because water got in between the layers.Don't bother."
Terrie Schoenbauer,"Reviewed in the United States on May 11, 2021",3.0 out of 5 stars,Not durable,"Liked the larger size and the glass at first. But within two months, two glasses had water between the layers."
Nerico L.,"Reviewed in the United States on April 11, 2021",3.0 out of 5 stars,They ok,It didn't look like I thought it would but they will do
donna mccasland,"Reviewed in the United States on April 5, 2021",3.0 out of 5 stars,Cute glasses,"I dropped one on the floor the first day  & it broke, so I only give them 3 stars. I liked the way they look just not the durability."
J. Garrett,"Reviewed in the United States on January 13, 2021",3.0 out of 5 stars,they were okay for the price,"Returned, it wasn't the color I needed"
Eliza banks,"Reviewed in the United States on January 4, 2020",3.0 out of 5 stars,Too modern inside should be larger,"Insulated cups are not the kind i wanted from the early nintiesInsulated cups were not the look  of glass, more the milk coloring."
John Doeboi,"Reviewed in the United States on July 12, 2016",3.0 out of 5 stars,Kind of disappointed with this purchase,Kind of disappointed with this purchase...they were cracked when I received them and did not hold up for the price I paid...very bad.
Shelley,"Reviewed in the United States on April 19, 2015",3.0 out of 5 stars,"Hmmmm, okay, but too pricy for what you get.  Look for better.","Nothing to shout out about.  Seems that the top where the seam is could be better affixed, there is a big lip and not worth the premium price in my opinion"
Alan S.,"Reviewed in the United States on February 18, 2024",3.0 out of 5 stars,Comically small,"Beware that these glasses are indeed teeny tiny. Almost like a slightly oversized shot glass. If that is what you are looking for, go for it. I returned these and ordered the 9.25oz rocks versions instead."
Amazon Customer,"Reviewed in the United States on December 27, 2023",3.0 out of 5 stars,Oops,"Sturdy and attractive but, my fault, just too small. Juice glass size. I should have checked before ordering"
robert w. young,"Reviewed in the United States on December 28, 2022",3.0 out of 5 stars,Small but my fault,"I read the description and failed. The glasses are fine, heavy duty, but too small for my juice. Maybe good for a mixed shot of liquor."
mlschrag,"Reviewed in the United States on October 19, 2022",3.0 out of 5 stars,Very small,I don't know what people are using these glasses for but they are far too small for me.  If you take literally 3 big sips of juice....that's it...you are done.  Might as well put juice in a shot glass.
Julia,"Reviewed in the United States on July 19, 2022",3.0 out of 5 stars,Ok,They are ok but I didn’t realize just how small they were. I ordered these for my son and they are a little larger than a shot glass…..
Cassandra,"Reviewed in the United States on January 20, 2022",3.0 out of 5 stars,Toddler dropped it shattered into a thousand pieces,"I got this in hopes that the tempered glass if it broke, wouldn’t shatter like regular glass but that was not the case. My toddler dropped it on our kitchen floor (maybe 1 1/2 to 2 get off the ground) and it shattered everywhere. Lots of tiny pieces- I should have taken a picture. The good thing is she is learning she has to be gentle and careful with her things because they can break."
KAT192837465,"Reviewed in the United States on October 16, 2021",3.0 out of 5 stars,NOT BROKEN,5of the glasses were intact. 1 glass was shattered. No where on packaging did it say fragile. Who is at fault?
Anita O,"Reviewed in the United States on October 9, 2021",3.0 out of 5 stars,Not quite the size I was going for,They are a little small for double juicers but work well for small dessert dishes or a quick drink of water.
PJ1221,"Reviewed in the United States on September 7, 2021",3.0 out of 5 stars,Too small,Nice but too small
Amazon Customer,"Reviewed in the United States on July 10, 2021",3.0 out of 5 stars,smaller than I had anticipated.,wikis u had 2X the size.
Pat H.,"Reviewed in the United States on February 13, 2021",3.0 out of 5 stars,Very small glasses.,"Theses glasses are very small and I expected them to be about a third bigger.  They are thick and appear durable, but way too small."
Robert H. Lee,"Reviewed in the United States on January 21, 2021",3.0 out of 5 stars,Cute cups but one of them was defective,"One of them is defective, I'll just keep them since  the other five cups were fine."
Hank H. Illiard,"Reviewed in the United States on December 19, 2020",3.0 out of 5 stars,Smaller than expected,these will work fine with a shot or two but if you want to add ice and water or soda they will be too small
E,"Reviewed in the United States on December 22, 2016",3.0 out of 5 stars,Small but good quality,"These cups are very small, good quality but buyer be aware they are small."
Nantz,"Reviewed in the United States on January 22, 2016",3.0 out of 5 stars,Three Stars,Smaller than expected.
Daniel Z,"Reviewed in the United States on May 27, 2015",3.0 out of 5 stars,Smaller than I expected. Make sure you know what size you mean to order. I didn't...,Smaller than I expected. Make sure you know what size you mean to order. I didn't...
MaryInColorado,"Reviewed in the United States on January 13, 2015",3.0 out of 5 stars,Just okay.,These glasses are okay but not as nice as I expected.  The glass quality is quite poor.  I ordered two sets of 6 glasses and 2 of the glasses have obvious flaws in the glass.  I needed more than 6 glasses but don't really need 12 so I didn't want to bother with returning any of them.  I would definitely not pay the full retail price for these glasses.  I bought them at a discount and they aren't worth any more than that.
Amazon-aholic,"Reviewed in the United States on November 16, 2014",3.0 out of 5 stars,Three Stars,Smaller than I thought they would be.
yarvet,"Reviewed in the United States on October 18, 2014",3.0 out of 5 stars,Too small,"These are tooo small for juice, more like shot glasses to us."
Audra Lofrano White,"Reviewed in the United States on June 14, 2014",3.0 out of 5 stars,Not the size I thought,I'm sure these are fine for most people but these are just a size up from a shot glass. Just know they are rather small.
LovesLux,"Reviewed in the United States on February 7, 2011",3.0 out of 5 stars,Not what I expected,"Bormioli products are generally a pleasure to own and use. This is the first time I have been disappointed.These glasses are only about 6 ounces which is MUCH smaller than a typical juice glass. This was not stated in the product description, so just be aware. Also, two of the six glasses were not straight around the rim, making them look like seconds. However, I also have purchased the 16 ounce version, and they are absolutely the perfect everyday glass."
Ja`red,"Reviewed in the United States on June 29, 2022",3.0 out of 5 stars,Barely gets cool,I don't know if there isn't enough it's the cooling gel or what but the cooling effect only lasts for about 15-20 minutes. Better off dropping a couple ice cubes in. That and the capacity is very small. Can't put in the dishwasher either. I would NOT recommend this product.
Julia A. McIntyre,"Reviewed in the United States on August 3, 2021",3.0 out of 5 stars,"Pretty, but concerned gel is half full","Freezing gel is only half full and they suggest you turn upside down to spread gel while freezing but then it is not at the bottom where your wine will be…Are they supposed to be half full for a reason- even froze one to see if it expanded, it does not"
Lisa Negron,"Reviewed in the United States on May 24, 2021",3.0 out of 5 stars,P,Wish they held more very small.
A M,"Reviewed in the United States on December 18, 2022",3.0 out of 5 stars,"Attractive, sturdy wine glass","These wine glasses are certainly attractive, but the stems are pretty delicate.  You need to be careful with them and handle with care.  I'd even go so far t say that you should purchase a few extra to have in reserve for that very reason."
mary wolford,"Reviewed in the United States on April 30, 2021",3.0 out of 5 stars,Fragile,"Got these for a shower. Each flute has a different design on it. Attractive, easy to hold. Worked for what I wanted at the shower. Nicely packaged. However, would never have these for my own glassware because they are very light and easily broken. I accidentally hit one flute with another when I was washing them and they both just shattered! Feel very lightweight and it’s obvious they are not “fine” crystal you can use over and over. But for what I needed they were festive, pretty, and they stayed together."
Olga  Stetson Anderson,"Reviewed in the United States on April 18, 2012",3.0 out of 5 stars,Too tall,I bought these (as well as the martini glasses) because of the whimsical design.  But I never use them - even though I love sparkling wine -  they are unwieldy in the hand and too tall for my dishwasher.
