name_guest,date_review,overview_rating,overview_text,comment
Beautiful glasses exactly what I wanted!,"Reviewed in the United States on December 27, 2023",5.0 out of 5 stars,Love them,Delivered on time beautiful exactly what I wanted
Shopster,"Reviewed in the United States on November 22, 2023",5.0 out of 5 stars,Really nice hi ball glasses,These are premium hi ball glasses. Highly recommend to anyone
Brandon,"Reviewed in the United States on July 22, 2023",5.0 out of 5 stars,Elegant addition to the home bar,I’m a big believer in having the right glassware for the right cocktail. These glasses were the perfect addition to the home bar.
Amazon Customer,"Reviewed in the United States on July 17, 2023",5.0 out of 5 stars,Great glasses!,I like these glasses so much I just ordered another set. So easy to hold and the weighted bottom keeps from tipping. Don’t hesitate!
Christine R.,"Reviewed in the United States on April 7, 2023",5.0 out of 5 stars,Love these,Perfect... exactly what I was looking for. Can't wait to afford to buy more and have a full set
Amanda,"Reviewed in the United States on March 18, 2023",5.0 out of 5 stars,Love them!,They are so adorable and easy to hold if you have small hands like myself.
Kyanna,"Reviewed in the United States on October 6, 2022",5.0 out of 5 stars,So classy,I love the flutes they are sophisticated and just enough for an evening cocktail! 10/10 recommend
Taylor M Burgmon,"Reviewed in the United States on July 21, 2022",5.0 out of 5 stars,Nice product!,"I was excited to receive this quality product for a reasonable price! The glasses don’t look cheap and have a good weight to them- not too heavy, not too light. Can’t wait to use these for my champagne/mimosas :-)"
S,"Reviewed in the United States on July 4, 2022",5.0 out of 5 stars,Perfectly Elegant,"I recently needed elegant glasses for an anniversary dinner and I'm really glad that I chose these sophisticated champagne glasses.Despite the fact that the glasses were inexpensive, they look really classy. The packaging was gorgeous and the glasses themselves look really well-made. I liked that they were thin but not too fragile and had a comfortable weight to them that wasn't too heavy. They were also really stable and didn't fall over easily. The tapered glasses allowed us to maintain a comfortable grip and choose whether we wanted to hold it at a wider part of the glass or a narrower one.The glasses are big enough to hold a lot of liquid. One of the reasons I chose these glasses was that the description said the tapered shape prevented drinks from losing their carbonation too quickly and I was very happy to see that that was indeed the case. I even compared it one of my older glasses with a wider shape and the difference was very noticeable. Another one of my favorite features of this set is that they are dishwasher safe, which makes cleanup easy and efficient.All in all, these glasses are exactly what I was looking for and I'm very happy with my choice. I look forward to using these more frequently because they seem to hold up really well and will definitely buy another set if I ever need more."
Heather Beygo,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars,Love these glasses,They are sturdy and were very well packaged.
Ch,"Reviewed in the United States on February 25, 2024",5.0 out of 5 stars,Happy,They are good glasses
Caitlin,"Reviewed in the United States on February 12, 2024",5.0 out of 5 stars,Classic glassware!,Timeless glassware for everyday use. Easy to clean and a good comfortable size.
Momof5,"Reviewed in the United States on February 11, 2024",5.0 out of 5 stars,Drinking glasses,I love the style of these glasses. They have some weight to them which I happen to like. They fit nicely in my cabinets and look nice and clean after running through the dishwasher.
John Cotton,"Reviewed in the United States on February 9, 2024",5.0 out of 5 stars,Good Quality,Practical glasses for everyday use.
The Smith's,"Reviewed in the United States on January 25, 2024",5.0 out of 5 stars,Durable and stylish,Decided to buy these when we ditched drinking out of plastic cups.  Initially I was worried about their durability but to my surprise they are able to withstand my heavy handed boys.
Kazi NS,"Reviewed in the United States on January 23, 2024",5.0 out of 5 stars,Love them,Solid feel and great glasses
Mark Taylor,"Reviewed in the United States on January 13, 2024",5.0 out of 5 stars,Maximize storage,"This is our second set of these glasses. I like them because they are nearly straight up and down, so they maximize the available space in the cupboard. I also like the weighted bases that are just the right weight to hold the glass in place when pouring without being too heavy."
Zackary Keegan,"Reviewed in the United States on January 11, 2024",5.0 out of 5 stars,Would recommend,Great glassware for a good price.
Marcia Elkins,"Reviewed in the United States on January 5, 2024",5.0 out of 5 stars,Very Nice Glasses,These glasses are great and perfect for restocking a rental condo.  I like that there are 12 of each size in the set.  The box was very sturdy (and heavy) and not a single glass was cracked.
Amazon Customer,"Reviewed in the United States on December 24, 2023",5.0 out of 5 stars,Great quality glasses,Great quality definitely worth the money
Brevin Wixon,"Reviewed in the United States on December 13, 2023",5.0 out of 5 stars,Just some cups 🤷🏻‍♂️,"Not much to it, I can say they don't leak?Id buy them again"
Very disappointed. Unbelievably heavy and awkward to push on highest level. It is too heavy and should have three level settings. It does have amazing suction power.,"Reviewed in the United States on December 11, 2023",5.0 out of 5 stars,Arrived,Glasses arrived carefully packaged.Went through the dish washer. Very comfortable to use and attractive.
Cheri,"Reviewed in the United States on November 28, 2023",5.0 out of 5 stars,Perfectly Basic,These glasses were just what I was looking for. They are a basic design and are sturdy. Perfect for our holiday gatherings.
Ben,"Reviewed in the United States on November 27, 2023",5.0 out of 5 stars,High quality,Beautiful and a great value!
Mr K,"Reviewed in the United States on November 18, 2023",5.0 out of 5 stars,Simple but elegant,Great purchase. Great value for money
Jacqueline,"Reviewed in the United States on November 9, 2023",5.0 out of 5 stars,Simple and good!,Basic and simple. Came dusty but good quality!
djb76207,"Reviewed in the United States on November 6, 2023",5.0 out of 5 stars,"A simple, classic style at a reasonable price",These glasses are not fancy or ornate and as such they aren't overly heavy. They have a nice feel to them and they are very reasonably priced compared to a lot of the sets I looked at. I would recommend them.
Sarah,"Reviewed in the United States on October 24, 2023",5.0 out of 5 stars,Perfect!,They were in perfect condition nothing was broken! I needed these as centerpieces and they worked perfectly!
Lisa Rollins,"Reviewed in the United States on October 16, 2023",5.0 out of 5 stars,Libbey Province 16-pc Glass Set,I absolutely love the elegant style of these glasses. I love the eight 15.2-ounce double old-fashion look...and the eight sleek 11.1 ounce rocks glasses. I have purchased other store brand glasses and they are not dishwasher safe. I love Libby brand glasses because they are dishwasher safe. The Libbey brand is very durable and affordable for anyone shopping for new drinking glasses. This Libbey Province16-piece Tumbler and Rocks Glass Set matches perfectly and complements any dinner or party. I can request a manufacture warranty by contacting the company but I opted not to because of the durability of this product.
lshfunshine,"Reviewed in the United States on October 15, 2023",5.0 out of 5 stars,Great quality with a simple design,I really like the feel of the glass.  It’s sturdy with the right amount of weight without feeling heavy.
MDB,"Reviewed in the United States on October 10, 2023",5.0 out of 5 stars,Elegant.,Easy to hold and a great size that is perfect for a cocktail of one's choice.
melanie,"Reviewed in the United States on September 20, 2023",5.0 out of 5 stars,Well made and nontoxic,Beautiful and nontoxic
Aussymimi,"Reviewed in the United States on September 12, 2023",5.0 out of 5 stars,great glasses,"great design, easy to hold"
Lili,"Reviewed in the United States on September 11, 2023",5.0 out of 5 stars,Glasses,Great tumblers.
AK,"Reviewed in the United States on September 1, 2023",5.0 out of 5 stars,Sturdy,Nice and sturdy. Lots of glasses. Will order again.
Robert,"Reviewed in the United States on August 21, 2023",5.0 out of 5 stars,Glass tumblers,Good glasses.  Holds water with no leaks
Tori Wilson,"Reviewed in the United States on August 15, 2023",5.0 out of 5 stars,Great cups,I’m picky about my glass cups and these are fabulous. Thicker glass so I don’t worry when I put them in the dishwasher. They don’t get that smoky look to them after being washed over and over still look clear and beautiful. I get so many compliments on them from friends and family
Latresa L. Williams,"Reviewed in the United States on August 14, 2023",5.0 out of 5 stars,LIBBEY PROVINCE,NICE QUALITY!
Cynthia W,"Reviewed in the United States on July 29, 2023",5.0 out of 5 stars,Great Drinking Glassware,You can always count on LIBBY GLASSES.  Exactly what I wanted.  Clear glasses and the right sizes.  They come out of the dishwasher sparkling.
Sarah,"Reviewed in the United States on July 28, 2023",5.0 out of 5 stars,Happy with Purchase,I will say these aren’t for people with young kids because they’re thinner. But I do very much like these! Great price!
Kelly,"Reviewed in the United States on July 28, 2023",5.0 out of 5 stars,Good quality,Nice sized and weight
Vivillus,"Reviewed in the United States on July 16, 2023",5.0 out of 5 stars,Good quality glasses,I love these glasses. They work very well and are good quality
Abigail Addison,"Reviewed in the United States on July 15, 2023",5.0 out of 5 stars,Perfect Glassware,This glasses are beautiful. Very well made and totally worth the money.
Edward H.,"Reviewed in the United States on July 4, 2023",5.0 out of 5 stars,Elegant design,As an architect I appreciate good design and these glasses are the most elegantly designed glasses I have found.
rjshad,"Reviewed in the United States on July 4, 2023",5.0 out of 5 stars,"Good quality, size and weight",I bought this set for my son because he only had three glasses in his kitchen. I was surprised with the quality and weight of them. They are a nice size and weight. The short glasses stack nicely in the cabinet. I may buy a set for my own home.
Connie Luikart,"Reviewed in the United States on June 20, 2023",5.0 out of 5 stars,Very Nice Glassware,Just what we ordered. Nice quality and heavy!
RAJ,"Reviewed in the United States on June 4, 2023",5.0 out of 5 stars,Great glass quality and durable,Nice looking . Excellent glass quality and durable
Kent Silveria,"Reviewed in the United States on May 27, 2023",5.0 out of 5 stars,Glass review,We needed this for our rental home and also use them when we visit the house. The are sturdy glasses and a great value for 16 glasses with two sizes. We are very happy with them and highly recommend them.
S. DeChenne,"Reviewed in the United States on May 21, 2023",5.0 out of 5 stars,The best,"Clear, straight-forward, beautiful. Not too heavy, not too light. These are the perfect glasses."
Debbie,"Reviewed in the United States on May 17, 2023",5.0 out of 5 stars,Nice looking,Perfect for the patio
Memememe...,"Reviewed in the United States on May 9, 2023",5.0 out of 5 stars,Work great,"These glasses are nice looking and so far, durable."
A. Jackson,"Reviewed in the United States on May 7, 2023",5.0 out of 5 stars,Clean design,Classic clean design for everyday use.
Michele ,"Reviewed in the United States on April 19, 2023",5.0 out of 5 stars,Durable and pretty!,These have been great!
J. Currier,"Reviewed in the United States on March 15, 2023",5.0 out of 5 stars,Great customer service!,"I bought this set to replace another Libbey glassware set that I bought several years ago.  That one had a pattern on the outside of the glass and was not smooth like this one.  I really like the feel of this clear, smooth glassware.  After using the glasses for a couple days I notice one of the taller glasses had a “wobble” to it.  When sitting on our flat table it could rock back and forth 3/8” at the top.  It was enough at times to make it feel like the glass could tip over, but it never did.  I contacted Libbey to see if they could send a replacement glass, and after verifying my receipt and shipping address they sent a COMPLETE SET of 8 (16 glasses total) to replace a single glass!  Excellent customer service!  That is going above and beyond!  I’m very happy with the entire purchase and really happy with the great response to my one small problem from Libbey."
Amazon Customer,"Reviewed in the United States on March 14, 2023",5.0 out of 5 stars,Nice Glass Set,"Nice glass set, cleans well and over well balanced."
viteaslava,"Reviewed in the United States on March 11, 2023",5.0 out of 5 stars,Love the glasses,"Simple, elegant"
Chena,"Reviewed in the United States on March 8, 2023",5.0 out of 5 stars,Nice,Great for the price
Sunshine,"Reviewed in the United States on February 28, 2023",5.0 out of 5 stars,It’s a nice sturdy glass,Works great for everyday use
Sarah P.,"Reviewed in the United States on February 27, 2023",5.0 out of 5 stars,Classic and a great value,"We love these classic style glasses. They came in a good quantity. There’s a few imperfections in the glass as shown in the picture but nothing unsafe, just aesthetic. I would buy them again."
michael morrell,"Reviewed in the United States on February 24, 2023",5.0 out of 5 stars,Just buy it now,"Amazing set.  So gorgeous.  if any individual item comes broken they will give you a credit for it, unless you are ready to return the whole set for a replacement.  i couldnt be happier with my set!  They do scratch like from a steak knife, but what plate doesnt!"
Julian M Griffiths,"Reviewed in the United States on February 19, 2023",5.0 out of 5 stars,good glasses,Being straight they take up less space in the cupboard.  I would buy them again.
bdehoop,"Reviewed in the United States on February 12, 2023",5.0 out of 5 stars,Great Customer Service! Arrived with 3 damaged- the company is sending out replacements ASAP!,"Love that the base of the glasses are FLAT, no yukky accumulation of dishwasher gook collecting on the bottom.  The taller glasses are elegant and because there is no bend/arc in the design, there is LESS chance of getting damaged in the dishwasher.  Really great too that there is 24 in a set!Really happy with my purchase.  UPDATE:  Company did not just send replacements-they sent a SET of 12 to replace 3 broken/chipped!!! So impressed and really hoping these glasses are as durable as they are beautiful as I would definitely buy again based on service alone.  AWESOME!"
LeenieinOC,"Reviewed in the United States on February 2, 2023",5.0 out of 5 stars,Nice product and exceptional customer service.,The glasses are the perfect size and are versatile. What I want to call out is the exceptional customer service I received. One of the glasses had a very small chip. I emailed them asking to replace the one glass. They replied right away and actually sent me another full set of 8. Now I have backups if any break in the future. I would order this product and from this vendor in the future.
Laura Peniowich,"Reviewed in the United States on January 29, 2023",5.0 out of 5 stars,Love,"Easy to clean, and love the shape"
Allen Barber,"Reviewed in the United States on January 25, 2023",5.0 out of 5 stars,Nice and simple,Not perfect but perfect for me
Patricia Crawford,"Reviewed in the United States on January 20, 2023",5.0 out of 5 stars,Sturdy,These glasses have a heavy bottom to prevent them being knocked over. Very stable. Just the right size to fit in my refrigerator door water/ice dispenser. They also look good.
Amazon Customer,"Reviewed in the United States on January 12, 2023",5.0 out of 5 stars,Nice glasses with a heavy weight,These feel very durable. I purchased them for a short term rental so it is important that they aren’t super fragile or expensive. So far so good.
emilia,"Reviewed in the United States on January 11, 2023",5.0 out of 5 stars,Nice set,Great!
Skeezix,"Reviewed in the United States on January 10, 2023",5.0 out of 5 stars,Beautiful glasses but I'll need to be careful with them.,"These are exactly what I was looking for: a slender, tall glass that isn't huge and bulky. The rocks size is also nice, smaller than the typical rocks glasses that come with a set, but perfect for me. These feel a bit fragile, but I was looking for aesthetics and size, not durability. Very pleased with purchase."
JJ,"Reviewed in the United States on December 13, 2022",5.0 out of 5 stars,Planning to ordre another set after the holidays.,"Love the design, weight, and how it feels..."
Denise Boudreaux,"Reviewed in the United States on December 13, 2022",5.0 out of 5 stars,Nice,Well made and durable. Very simple and beautiful
MWR,"Reviewed in the United States on December 4, 2022",5.0 out of 5 stars,Beverage glasses,Love these!!! Just what I wanted. Came in a heavy weight cardboard box with each glass having its own protected place. Definitely well worth the money.
Juan Aleman II,"Reviewed in the United States on December 4, 2022",5.0 out of 5 stars,Visually a work of art,"I liked this purchase, they are beautiful glasses.  The only fault would be how thin the glasses are.  I wouldn't do a toast with these!  Otherwise,  very nice to look at and use."
Franc835,"Reviewed in the United States on December 2, 2022",5.0 out of 5 stars,Giid quality glasses.,Heavy glasses. Very durable. Dies not feel cheap. Quality and weight of these enhances drinks in a party situation
Victoria,"Reviewed in the United States on November 26, 2022",5.0 out of 5 stars,Great glasses for a great price!,"I am really pleased with these glasses! They are very classy looking, but also sturdy. They look similar to glasses that I bought at Bed, Bath, & Beyond but for a fraction of the cost! I have only had them for a week, so will update review later to see if they do actually hold up, but so far they seem very durable. Size is perfect as well; very easy to hold in your hand."
dina trombley barnes,"Reviewed in the United States on November 12, 2022",5.0 out of 5 stars,Glasses,These are drinking glasses.  Good value for price.  As described by seller.
Di & Eugene Venter,"Reviewed in the United States on November 9, 2022",5.0 out of 5 stars,"Good value for money,  great sizes","This set was such good value,  I was skeptical.  But they're lovely!!! Great everyday drinking glasses, nice and sturdy,  do well in the dishwasher,  don't seem to mark"
Dottie Arlene,"Reviewed in the United States on October 15, 2022",5.0 out of 5 stars,Glasses for every day.,Love the glasses but use them for every day.  Must be careful because they chip easily.  Should be treated with care.
Gisela,"Reviewed in the United States on October 10, 2022",5.0 out of 5 stars,Amazing!,Very modern cups and amazing price for the quality and quantity 🙂
Sara Van De Veer,"Reviewed in the United States on October 1, 2022",5.0 out of 5 stars,Classy glasses at a great price!,"We received these glasses as a gift. Once they were all broken or missing, after many years of use, I knew I'd want to order these again."
G J Robinson,"Reviewed in the United States on September 21, 2022",5.0 out of 5 stars,long lasting,I purchased these glasses for my son and he loves them.
Samantha Johns,"Reviewed in the United States on September 13, 2022",5.0 out of 5 stars,Good quality,I was surprised by how thick the glass was and substantial the base felt.
Stephanie,"Reviewed in the United States on September 11, 2022",5.0 out of 5 stars,First Apartment Gift,Purchased as a gift. They're happy with the quality.
C Bloomington,"Reviewed in the United States on August 31, 2022",5.0 out of 5 stars,Libbey Province 24 Piece Tumbler and Rocks Set,"If you’re looking for a simple but beautiful glass set, this is for you.  Great value for the price!"
Bryn Lauffer,"Reviewed in the United States on August 27, 2022",5.0 out of 5 stars,So many glasses!!,I only ended up pulling out 1/2 of the glasses and will use the other half once I break some(bound to happen)! They are sturdy and well built. And perfect sizes! Great price too for how many you get!
Amazon Customer,"Reviewed in the United States on August 27, 2022",5.0 out of 5 stars,Great glass and packed well!,"Haven’t used the glasses yet but they look exactly as shown. Not one broken glass or chip as they were packed very well, pleasantly surprised!!"
Kelsey Tobin,"Reviewed in the United States on August 27, 2022",5.0 out of 5 stars,Not breakable,Arrived very nicely packed. Had these for over a month no cracks or breaks. They seem durable. I always wash by hand sometimes bump glasses into each other haven’t had one break yet…
Cyrus Bazeghi,"Reviewed in the United States on August 23, 2022",5.0 out of 5 stars,A quality set of glasses,"I am very impressed with these glasses. They are very sturdy, have a nice heavy base and are not thin and fragile feeling. I got approval from my wife and daughters as well."
Zach,"Reviewed in the United States on August 18, 2022",5.0 out of 5 stars,low balls and high balls glassware,We just got the box of glasses and havent had a chance to use them. Next happy hour is next week. Will update you if they are crap. Hopefully not.
Craig Topping,"Reviewed in the United States on August 14, 2022",5.0 out of 5 stars,Beautiful  quality and number of glasses for the right price,Beautiful quality and number of glasses for the right price.
Laurie Fletcher,"Reviewed in the United States on August 11, 2022",5.0 out of 5 stars,Libby glasses,I love these glasses. So sturdy and attractive.
Sandi,"Reviewed in the United States on August 6, 2022",5.0 out of 5 stars,Love ‘em!,They stack nicely in the cupboard!
Almudena Capell,"Reviewed in the United States on August 2, 2022",5.0 out of 5 stars,Great quality for the price,Very sturdy glasses and the two sizes are very convenient. Highly recommended
CheerHthr,"Reviewed in the United States on July 19, 2022",5.0 out of 5 stars,Classic Drinkware,"Greatest value, good weight, thin rim, classic and timeless shape."
Angela E Eller,"Reviewed in the United States on July 18, 2022",5.0 out of 5 stars,Sturdy!,These are sturdy and feel substantial.  Bought these to replace a cheaper version which kept breaking.
River Temarc,"Reviewed in the United States on June 23, 2022",5.0 out of 5 stars,"Excellent design, sturdy",These glasses have a minimalist design with an extremely sturdy base. I recommend them.
Mamaof4,"Reviewed in the United States on June 2, 2022",5.0 out of 5 stars,Beautiful glasses,These arrived in a few days and were very well packed. The price probably includes the shipping materials they were so well packed. None broken. Simple and plain just like I wanted. Would highly recommend.
Christie,"Reviewed in the United States on May 26, 2022",5.0 out of 5 stars,Quality glasses,These look so elegant and clean. I thought the quality was great and these were precisely the glasses I was looking for.
Sandra Heidema,"Reviewed in the United States on May 22, 2022",5.0 out of 5 stars,Love these glasses!,"Sturdy, lightweight, arrange nicely in the cupboard."
Bzz,"Reviewed in the United States on May 18, 2022",5.0 out of 5 stars,Attractive and perfect weight,"Glasses are modern looking with clear quality glass, no imperfections and are the right weight."
Cody Schroeder,"Reviewed in the United States on April 22, 2022",5.0 out of 5 stars,Great glass set,Really love this set.
LV,"Reviewed in the United States on April 14, 2022",5.0 out of 5 stars,Very nice glasses!,"Really enjoying these glasses from Libbey.  They have a nice, sturdy feel to them since they're good quality. They're easy to drink from and look simple and elegant.  Libbey is my favorite glassware brand :)"
Bob Vanderet,"Reviewed in the United States on March 29, 2022",5.0 out of 5 stars,Best everyday glasswear we've ever had,We  love our new set.
vik,"Reviewed in the United States on March 26, 2022",5.0 out of 5 stars,Great product,Great product and nice price
tom heaton,"Reviewed in the United States on March 22, 2022",5.0 out of 5 stars,Just what I was looking for.,See above
Karen,"Reviewed in the United States on March 19, 2022",5.0 out of 5 stars,Love the look!,We’ve had them for a year now and we still love them!
WordPro,"Reviewed in the United States on March 10, 2022",5.0 out of 5 stars,Easy to hold; look great,"These glasses are versatile, nice to hold, and look modern. They hold a good amount for drinking with a meal or snack. I use the small ones for water, while my husband uses it for whisky! I love the sleek feel in my hand. They are nicely weighted."
Cody,"Reviewed in the United States on February 20, 2022",5.0 out of 5 stars,Simple and attractive,"These glasses are a simple design, but because of that simplicity they look great with anything. They also seem to be holding up well so far in the dishwasher and aren't showing signs of etching like our old glasses had."
chris,"Reviewed in the United States on March 6, 2024",5.0 out of 5 stars,Beautiful glasses,"I love the look of these glasses. They are very easy to hold, that came packed really well and were delivered in perfect condition"
Lily MayAmazon Customer,"Reviewed in the United States on March 5, 2024",5.0 out of 5 stars,Many compliments,Beautiful glasses and always receive compliments from guests. Like the weighted bottom that makes it difficult to tip AND love the indentations that make them so easy to hold. Ordering my second set today.
Dennis,"Reviewed in the United States on February 29, 2024",5.0 out of 5 stars,Love these!,"They were packaged so nice! We have had a set of these glasses before & love them! We also have the tall glasses & pitcher. They go with our dishes with have a blue ring around them.  We use the small glasses more than the large ones except when others come. So now we have a complete set again! I’m responsible for dropping or breaking some of them. I have M.S., which can make me dizzy & clumsy at times. These glasses are not fragile, they are great & pretty,  Glad I received them overnight!, they were packaged so well!"
Satisfied Customer ,"Reviewed in the United States on February 27, 2024",5.0 out of 5 stars,Quality,Again this was a Christmas gift and it was liked very much! Beautiful
Family,"Reviewed in the United States on February 25, 2024",5.0 out of 5 stars,Perfect for my set,"I've had the plates and bowls of this set for years, but with the other glasses that were offered. The old glasses look nice, but the lighter blue just didn't match the rest of the set. These glasses are the perfect compliment to the rest of the set, and look so amazing!"
Cyndi,"Reviewed in the United States on February 21, 2024",5.0 out of 5 stars,everyday drinking glasses,Arrived well packaged and look great to replace my old ones. The indentations make them easy to hold I will update on the durability later.
Joan Johnson,"Reviewed in the United States on February 21, 2024",5.0 out of 5 stars,Indents stop dropping easily,"I have weak right hand and the indents lets me have good grip without glass sliding out. Pretty, too"
Kristen A. Harmon,"Reviewed in the United States on February 20, 2024",5.0 out of 5 stars,Whole Family Loves Them,Gorgeous and easy to hold. They go through the dishwasher like a dream. A very attractive glass.
Lisa Pease,"Reviewed in the United States on February 17, 2024",5.0 out of 5 stars,Looks exactly like the photo - very beautiful. A little delicate.,"I wanted something beautiful to drink from. Life is hard and sometimes we just need the little joys that an item like this can bring. I like the indentations - makes it easy to hold, and the classes aren't too heavy, either. I will be careful with them, but they survived their first dishwashing and look like the picture here!"
Dawn,"Reviewed in the United States on February 16, 2024",5.0 out of 5 stars,If I could give them 10 stars I would,"Durable, sturdy, shipped well, very gorgeous glasses!"
Cyn007,"Reviewed in the United States on February 16, 2024",5.0 out of 5 stars,Nice set...,"We had out of town guests & I noticed I didn't have enough matching drink ware.. this is a huge set, but the best deal.. very pretty, my husband even uses the short glasses for his scotch..it was difficult to fit all pieces in the drink cabinet, I read the reviews, often returned, I wash each one by hand, so far so good, haven't broken any yet.."
MarleneU,"Reviewed in the United States on February 14, 2024",5.0 out of 5 stars,Love these glasses,"I like to change my drinking glasses about every 3-4 years and I opted to buy these about a year ago.  I absolutely love them.  They are easy to hold, they are sturdy, and look extremely pretty while you hold them in addition to just being on the table.  Thank you for a good product."
Jennifer ,"Reviewed in the United States on February 14, 2024",5.0 out of 5 stars,Love these glasses!!,Thick glass. Everyone comments on how nice and unique they look. We love how they look.This is my second set just in case something happens to my first set and I can’t find them again.Love! Love!
Janice Stacy,"Reviewed in the United States on February 12, 2024",5.0 out of 5 stars,BEAUTIFUL GLASSES,I love the feel of the glasses.....has a indention on the side for holding on to the glass.  It is very pretty and contemporary....just what I was looking for.  Came in a very strudy package and all the glasses were intact.  Very good price for a set of 16.
Tamblina D,"Reviewed in the United States on February 7, 2024",5.0 out of 5 stars,Beautiful glasses.,The glasses are an excellent accent to my new plates. They are perfection and exactly what I wanted!
Baxter's Mom,"Reviewed in the United States on February 7, 2024",5.0 out of 5 stars,Love these glasses!,"First of all, the glasses are very attractive and everyone who has used them has commented on how pretty they are.  A very nice addition to our table setting.  One of the things I really like about them is that they are easy to hold as they have slight indentations in the pattern that make it feel secure when you pick them up and drink out of them!"
Wesley Field,"Reviewed in the United States on February 2, 2024",5.0 out of 5 stars,Great buy!,Over a month and we still love these glasses. Definitely worth it.
Lorelei Lanum,"Reviewed in the United States on January 30, 2024",5.0 out of 5 stars,Beautiful glasses,"These are beautiful glasses. Sturdy, easy to hold and clean."
Pamela Wyrick,"Reviewed in the United States on January 30, 2024",5.0 out of 5 stars,Beautiful!!,"Our set just arrived today! They match our stoneware perfectly!  I loved them so much, I bought another set!"
Janet,"Reviewed in the United States on January 30, 2024",5.0 out of 5 stars,Perfect pretty water glass,I have a set of 16oz tumblers with the same design and wanted glasses that would be more appropriate for water during a dinner party. These are great!
gulnaz gulter,"Reviewed in the United States on January 28, 2024",5.0 out of 5 stars,Very beautiful drinking glasses,"What I liked about it is that it has  elegant looksAnd it’s easy to hold, dishwasher safe. And what is important is that it came with no damage or any scratches. Thank you seller for the fast delivery."
Rose,"Reviewed in the United States on January 27, 2024",5.0 out of 5 stars,Elegant,Grest sizes
CC,"Reviewed in the United States on January 27, 2024",5.0 out of 5 stars,LOVE!,"They arrived unscathed and perfect packed in a thick box. They are not bulky, but just thick enough glass that they aren’t super fragilé (that’s French for fragile). I love these."
Alma Sandoval,"Reviewed in the United States on January 27, 2024",5.0 out of 5 stars,Quality,Absolutely gorgeous! Just keep in mind that they are delicate because they are made of GLASS....
Amazon Customer,"Reviewed in the United States on January 26, 2024",5.0 out of 5 stars,Excellent Quality,Really really love these glasses! They are not a thin glass and are extremely lovely! Very happy with this purchase!
Rosanne Jensen,"Reviewed in the United States on January 21, 2024",5.0 out of 5 stars,Goes with our costal home  decor,These are great easy to clean and pretty color. They have a unique curve in the glass that actually Fits your hands and fingers to hold well! Love them.
Life in Idaho,"Reviewed in the United States on January 20, 2024",5.0 out of 5 stars,BEAUTIFUL,These glasses have indentations for easy to grip sides. They are glass so they do break. We've had them for 1yr and the has true even with multiple washings in dish washer.
Ginger,"Reviewed in the United States on January 19, 2024",5.0 out of 5 stars,Very nice glasses,"I bought these glasses for everyday use,. They feel really good in your hand! Love the color. And the packaging was perfect not one of them was damaged in shipping. Great job"
jane,"Reviewed in the United States on January 16, 2024",5.0 out of 5 stars,"Elegant, durable and a great value",I love these elegant glasses. They are a great price and very durable.
Amazon Customer,"Reviewed in the United States on January 15, 2024",5.0 out of 5 stars,So pretty!,I love these glasses. I just redid my kitchen in royal blue and white and these glasses look amazing with my new dinnerware.
Bonnie J.,"Reviewed in the United States on January 12, 2024",5.0 out of 5 stars,Glasses,Love the bubble indent for holding the glasses. The blue access is a plus and Libby glasses have always been a favorite
Patti,"Reviewed in the United States on January 12, 2024",5.0 out of 5 stars,Beautiful cobalt blue 'ribbon ',"Love the 16pc. Set, 2 sizes. Nicely shaped for easy grip & everyday use."
Eri,"Reviewed in the United States on January 11, 2024",5.0 out of 5 stars,So pretty and love it!!,"I love it so much and I purchased it again!! Well, only down side is it is fragile, it broke many in the dish washer and sink. But good news is, it comes 8 each short and tall, I decided re purchase another set because we are family of 4 with teens, often have guests, it gets used. So here we are got another set. And I believe to have a good quality stuff for something I use everyday, and it makes me happy! It’s so worth it!!"
Devin,"Reviewed in the United States on January 10, 2024",5.0 out of 5 stars,"Beautiful Cups, Great Gift","I bought these cups as a gift to my mother, and she loved them! We have been in the market for new glassware with unique designs, and this was the perfect addition to our collection! The simple yet unique design allows the cups to stand elegantly in my mother's cabinet and are a perfect touch when having company over."
Katelp99,"Reviewed in the United States on January 9, 2024",5.0 out of 5 stars,Absolutely beautiful,The glasses are absolutely beautiful! The blue swirl is just enough to add a touch of sophistication and beauty. I have received many compliments. Buy these!!
Teri C.,"Reviewed in the United States on January 9, 2024",5.0 out of 5 stars,Quality Glasses,Received as a gift and the quality of the glasses is extraordinary. The color is beautiful.  A little more round which I prefer. I would recommend these to everyone!
Judy Olin,"Reviewed in the United States on January 8, 2024",5.0 out of 5 stars,Beautiful glasses,Look great in your hand or cabinet!!
CF,"Reviewed in the United States on January 4, 2024",5.0 out of 5 stars,Pretty,Dimples help to hold. Very pretty design. Have had no issues with breaking.
g,"Reviewed in the United States on December 31, 2023",5.0 out of 5 stars,Magnificent in  Blue,Love the color in the glass.  Easy to hold.  Use everyday.
Jwall919,"Reviewed in the United States on December 30, 2023",5.0 out of 5 stars,Beautiful glass set,"Exactly like shown in the picture. I like that they have a sturdy glass base to help preventing tipping. Also, they have 4 indentations around the bottom sides of the glass for a better grip when holding the glass. One indent on each corner of the glass, perfect size and smoothness to fit your fingers."
NC MOM,"Reviewed in the United States on December 29, 2023",5.0 out of 5 stars,Love these,Love these cups. They are not something you see all the time.
